"N","estimator","age","mid","nrep","bias_a","se_a","bias_b","se_b","true_a","true_b","t_a","t_b"
10000,"svd","100+",102.5,1000,0.676868095391712,0.0877499332377161,0.61206694018743,5.57702820800086,-0.884547892930226,0.0058094476526544,7.71360239737237,0.10974786523571
20000,"svd","0",0.5,1000,0.184000139795,0.108216290631339,-0.0206649539630424,2.58543128690379,-5.45110163120714,0.0469011555088597,1.70029982289667,-0.00799284593936742
20000,"svd","1-4",3,1000,1.23310580747123,0.0605920564147917,-0.143635947545456,0.70342203487412,-8.35609607853327,0.110675808277358,20.3509482997214,-0.204195974001809
20000,"svd","5-9",7.5,1000,1.51971337755246,0.0489552873402541,-0.145379929291345,0.691004120546902,-9.01766599546062,0.0784767136680064,31.042885459746,-0.210389381146212
20000,"svd","10-14",12.5,1000,1.3911743667273,0.0541962086346332,-0.108893825380569,1.59329124239904,-8.97039257582296,0.0422887499214844,25.6692193379427,-0.0683452105194563
20000,"svd","15-19",17.5,1000,0.723583867985298,0.0789534685989123,-0.0702348294149192,0.735166843798166,-8.29682640500956,0.0520233944118369,9.1646875156447,-0.0955359045465897
20000,"svd","20-24",22.5,1000,0.422170710028314,0.0900764339185264,-0.159348814162599,1.21825055584464,-8.02520213588412,0.0438271188339472,4.68680532368948,-0.130801347389592
20000,"svd","25-29",27.5,1000,0.255085745479095,0.104689927519095,-0.114452375637662,1.16400136251203,-7.83699538879676,0.0505899039281294,2.43658345672814,-0.0983266680982772
20000,"svd","30-34",32.5,1000,0.0597864872904355,0.116957835076142,-0.121962917835287,2.48277441633091,-7.52476319010437,0.0468341571333686,0.511179838883928,-0.0491236404858423
20000,"svd","35-39",37.5,1000,-0.0957361146481901,0.136550901674541,0.0668644582584679,1.98028837177124,-7.16673672016926,0.0394017280956176,-0.701102032093278,0.0337650107992412
20000,"svd","40-44",42.5,1000,-0.180220928418927,0.144501802592084,0.12850355758047,2.66502326612967,-6.75402026895997,0.0329677363497863,-1.24718809859885,0.0482185499892811
20000,"svd","45-49",47.5,1000,-0.188183669441105,0.133631903372254,0.189832249329106,1.89881454931113,-6.34155460245041,0.025950079978389,-1.40822411933239,0.0999740861465254
20000,"svd","50-54",52.5,1000,-0.141863987724235,0.12065214348571,0.0245975542936534,2.34813268538949,-5.93101826830349,0.0287499471299496,-1.17580992451276,0.0104753681283446
20000,"svd","55-59",57.5,1000,-0.124940048831546,0.108540968608653,-0.0224447496064107,1.93722183065049,-5.5431915265717,0.0445772840877155,-1.15108654762442,-0.0115860503176727
20000,"svd","60-64",62.5,1000,-0.0920087317461151,0.0935006471756728,0.0828167303531442,2.16934271117509,-5.10551938327063,0.0562673346856074,-0.984043795688872,0.0381759552912153
20000,"svd","65-69",67.5,1000,-0.0720548828275183,0.0830636506277353,0.0340594924813507,1.74098537252889,-4.62531761703246,0.0678324947554817,-0.867465880478156,0.0195633421272674
20000,"svd","70-74",72.5,1000,-0.0536179699064059,0.0684660564062282,0.019482936780677,1.23703625517752,-4.07182736488224,0.0650219890413153,-0.783132149283953,0.0157496893879486
20000,"svd","75-79",77.5,1000,-0.0399074333004812,0.0567002937469897,0.0490821579762024,0.816874681143203,-3.49607909020242,0.0514850010931134,-0.703831156123418,0.0600852971810959
20000,"svd","80-84",82.5,1000,-0.0313050078609303,0.0521520428336658,0.0139913274674311,0.610500138257353,-2.88002144208942,0.0428678086215171,-0.600264268856635,0.0229178121193694
20000,"svd","85-89",87.5,1000,-0.0345995855054224,0.0549669459503524,0.0203506734490206,0.634759224007203,-2.28563093161235,0.0324055997576375,-0.629461668412025,0.0320604611628136
20000,"svd","90-94",92.5,1000,-0.0551073837863021,0.0759457688548427,0.00983093398146371,0.68534305115535,-1.74976839172068,0.0223293502930381,-0.725614930459529,0.0143445446260683
20000,"svd","95-99",97.5,1000,-0.136062707429927,0.121981249045633,-0.03748385790572,1.27904317112618,-1.30567837065216,0.0127171967751866,-1.1154395326697,-0.0293061710127547
20000,"svd","100+",102.5,1000,0.242391178468146,0.108533774192541,0.305090128792021,3.85607360279773,-0.884547892930226,0.0058094476526544,2.23332488224485,0.0791193738031004
50000,"svd","0",0.5,1000,-0.150485029411736,0.134447569547075,0.0480508965271835,4.92663013638703,-5.45110163120714,0.0469011555088597,-1.11928411884787,0.00975329894815728
50000,"svd","1-4",3,1000,0.502600145003226,0.0950911524399123,-0.0993191821726085,1.05718387951252,-8.35609607853327,0.110675808277358,5.28545645001848,-0.0939469321253802
50000,"svd","5-9",7.5,1000,0.737539955108106,0.0784297110699254,-0.09819530689153,1.04668299442733,-9.01766599546062,0.0784767136680064,9.40383363710903,-0.0938157086857567
50000,"svd","10-14",12.5,1000,0.625234258202454,0.0788369569904573,-0.0474367481565922,1.02725805249923,-8.97039257582296,0.0422887499214844,7.93072541191734,-0.0461780251234661
50000,"svd","15-19",17.5,1000,0.113057239861288,0.116499863612271,0.0276575960126408,3.2959262157497,-8.29682640500956,0.0520233944118369,0.970449546941613,0.00839144877712311
50000,"svd","20-24",22.5,1000,-0.0578290085616668,0.1335502852219,0.0981995335205016,4.13556301699572,-8.02520213588412,0.0438271188339472,-0.43301299181489,0.0237451425880674
50000,"svd","25-29",27.5,1000,-0.131475615924049,0.129319025130591,0.0643249049307707,6.09268647497253,-7.83699538879676,0.0505899039281294,-1.01667651601363,0.0105577244447099
50000,"svd","30-34",32.5,1000,-0.183068192825969,0.13740008246452,0.170441139912075,2.38686639302501,-7.52476319010437,0.0468341571333686,-1.332373238373,0.0714079097221969
50000,"svd","35-39",37.5,1000,-0.179549934820307,0.131725575279726,-0.0085381951413805,2.86338474176462,-7.16673672016926,0.0394017280956176,-1.36306054795376,-0.00298185396354339
50000,"svd","40-44",42.5,1000,-0.124686209215956,0.10963701787906,-0.00386998974315877,1.82482866588373,-6.75402026895997,0.0329677363497863,-1.13726377849402,-0.00212074142384464
