"N","estimator","age","mid","nrep","bias_a","se_a","bias_b","se_b","true_a","true_b","t_a","t_b"
50000,"mle","10-14",12.5,300,-0.394044122017673,1.84725932468785,-0.0921816358725246,0.501299575519054,-8.97039257582296,0.0422887499214844,-0.213312834181665,-0.18388532600906
50000,"mle","15-19",17.5,300,-0.0485251986524613,0.267100361711318,0.0103548905481863,0.152600280156261,-8.29682640500956,0.0520233944118369,-0.181674028225044,0.0678563010341987
50000,"mle","20-24",22.5,300,-0.0443203814044661,0.197032344114886,0.00224294522378878,0.140967073126582,-8.02520213588412,0.0438271188339472,-0.224939624017383,0.0159111285638648
50000,"mle","25-29",27.5,300,-0.0384696319799325,0.184140344567708,-0.00732211701188187,0.125911327070725,-7.83699538879676,0.0505899039281294,-0.208914738756706,-0.0581529651241704
50000,"mle","30-34",32.5,300,-0.0134255337161786,0.14462249922428,0.01441150713746,0.0808701446577256,-7.52476319010437,0.0468341571333686,-0.0928315703862812,0.178205531824571
50000,"mle","35-39",37.5,300,-0.0219162159255681,0.115914949059688,0.00845976968781425,0.0690722170602004,-7.16673672016926,0.0394017280956176,-0.189071522727262,0.122477170241127
50000,"mle","40-44",42.5,300,-0.00742738684133126,0.0916022056362785,0.0117724507443911,0.0702478671645236,-6.75402026895997,0.0329677363497863,-0.0810830567860223,0.167584457999551
50000,"mle","45-49",47.5,300,-0.00694897763531888,0.0795185844143647,0.00803449749610637,0.0459820139963465,-6.34155460245041,0.025950079978389,-0.0873880953301222,0.174731309001488
50000,"mle","50-54",52.5,300,-0.00195847350438427,0.0613221043992378,0.00467308148979584,0.0454774971718593,-5.93101826830349,0.0287499471299496,-0.0319374803518422,0.102755907435633
50000,"mle","55-59",57.5,300,-0.00909414436431444,0.0560056802032673,0.00734318554702289,0.0498604122412749,-5.5431915265717,0.0445772840877155,-0.162378964621233,0.147274866310554
50000,"mle","60-64",62.5,300,-0.0053310072057986,0.0527788452589326,0.0182651932595235,0.0751116850234265,-5.10551938327063,0.0562673346856074,-0.101006514629957,0.243173791851784
