"N","method","zero_cells","a_bias","a_bias2","a_var","a_mse_med","b_bias2","b_var","b_mse_med","b_cor_med","breakdown","k_bias2","k_var","drift_med","drift_bias","drift_iqr"
50000,"LASSO20",88.94,0.0132990631918086,4.53370099971658,0.160114065409657,4.58671234717452,0.106732741195183,0.272441338329132,0.0418673691041034,-0.111163714003493,1,50.4913949809015,9.60185003429493,-0.261574643230431,0.106206403375406,0.115509715505273
1e+05,"LC",47.68,-0.0277970752273349,0.256996297830262,0.167820955617035,0.38925516338435,0.106921862054151,3.43408187948751,0.197927092788154,0.00808794212505094,1,103.77249297317,76.0820183451406,-0.0710439128711959,0.296737133734641,0.129420242713398
1e+05,"LASSO2",47.68,-0.0153527232505076,0.211321978932119,0.227213993869036,0.38999390407356,0.011961038442702,0.0374654608157142,0.0405153518395779,0.322480308752697,1,14.012828343447,15.2919953761539,-0.283080238585451,0.0847008080203852,0.123446912670342
1e+05,"LASSO5",47.68,-0.0099340210416438,0.928227765266325,0.179575510548276,0.983327149509793,0.0249183684653668,0.613942921021774,0.0259449429044075,0.393267768916104,0.98,13.8811244117,9.14663064158628,-0.347324738456828,0.0204563081490084,0.0948691434585471
1e+05,"LASSO10",47.68,-0.0174055527189121,2.32296886749685,0.124995358260361,2.38468155602898,0.00856035594257812,0.016270285732983,0.0153848510491556,0.417607892131293,0.98,21.4574718887145,4.06819124255893,-0.346634148455806,0.0211468981500302,0.0797555815450135
1e+05,"LASSO20",47.68,-0.0422670478558428,4.32943069686007,0.193982867130029,4.45839203223748,0.00841321948441762,0.0101352449273379,0.0105836687402885,0.392395721109318,0.96,22.7687456816069,6.71519917501958,-0.354802945092069,0.012978101513768,0.10591449314727
2e+05,"LC",21.84,-0.0509388673997552,0.118123886469778,0.13213845211494,0.232631491190321,0.0127759544974267,0.149362353655049,0.0377095367370241,0.55294793864665,0.92,23.5909306564874,110.114044222436,-0.286889330597502,0.0808917160083347,0.17362189793324
2e+05,"LASSO2",21.84,-0.0292091171360815,0.103753809574631,0.156124496562807,0.270619341221384,0.000735757082441348,0.0202316453930251,0.0161401611398899,0.613916225209423,0.82,6.57276174208173,19.3742596057921,-0.385454322901384,-0.017673276295547,0.119299615350468
2e+05,"LASSO5",21.84,-0.0159217832073438,0.541484966078009,0.106711321812533,0.634495604645874,0.00316671723710521,0.012731351004638,0.0131661144842983,0.574145531699672,0.86,11.1837257545815,9.39908251013974,-0.421256538368644,-0.0534754917628078,0.0966361572898393
2e+05,"LASSO10",21.84,-0.0180490458857186,2.095049771032,0.126737045007692,2.17214618655638,0.00371954830250597,0.0101698906331887,0.0100223520071095,0.618025242076608,0.9,15.7273479096025,7.89337612934757,-0.395016802278432,-0.027235755672595,0.119701295631963
2e+05,"LASSO20",21.84,-0.0602109695186577,4.18850876142338,0.145809014679637,4.17016603903239,0.003252304542961,0.00518898359394573,0.00680203168396917,0.668628816236783,0.78,18.5844769679032,6.87132482001666,-0.420474015877814,-0.0526929692719773,0.0804410002015981
5e+05,"LC",4.06,-0.0393617632068752,0.099742703577856,0.0719775930180351,0.160744870439896,0.00924101406476731,0.0227970596906678,0.0193681410728794,0.797973581425891,0.52,8.96569560730243,88.2803993842002,-0.282261472882258,0.0855195737235787,0.149935549159643
5e+05,"LASSO2",4.06,-0.0161691019817922,0.0447532318754808,0.0717461334459449,0.111725846633394,0.000640429686244575,0.00916390618850972,0.00644701685394555,0.79914453942349,0.5,5.4918518868153,11.179543093249,-0.382555697536525,-0.0147746509306881,0.0816058675558129
5e+05,"LASSO5",4.06,-0.00704288932500581,0.228954198464373,0.0610601413731215,0.27834908094842,0.00115167115283253,0.00560613403568776,0.00519666050796874,0.798772905383374,0.5,9.52811404111759,3.79786371778762,-0.400841114783211,-0.0330600681773748,0.0570236066491117
5e+05,"LASSO10",4.06,0.0155814186093405,1.9388855877828,0.116543324974899,2.01706955759296,0.00277113286569859,0.00255551074188893,0.00455297625826491,0.78500334300917,0.6,14.3269538160927,3.79577345353904,-0.402294296667622,-0.0345132500617852,0.0891575595225388
5e+05,"LASSO20",4.06,-0.0725455130109442,4.79081489782142,0.079999843323635,4.72669156536451,0.00279484520406444,0.00240481892444548,0.00411150580502607,0.789133399965184,0.54,18.2674264253801,3.10221621453516,-0.414832897336232,-0.0470518507303954,0.0615391960373249
1e+06,"LC",0.36,-0.0171765384333666,0.0217975369496823,0.0364471744315349,0.055625638057764,0.0039361945184756,0.00802631976256032,0.0112801344552426,0.830391770427044,0.32,2.23936269575013,52.079301812343,-0.314555480183097,0.0532255664227391,0.103654511858956
1e+06,"LASSO2",0.36,-0.00276557585175605,0.0134593936611195,0.039089855743063,0.0473712870478074,4.55876846339247e-05,0.00444981273686668,0.00354980385425383,0.884899679314261,0.2,5.49990982277862,4.73279561446976,-0.373636978937314,-0.00585593233147724,0.0802532628063247
1e+06,"LASSO5",0.36,0.00281863635301464,0.14580320952772,0.0357723300917982,0.169622323907823,0.000661573306530111,0.00313186597856055,0.0031931414166982,0.865108899355407,0.24,8.55495155658882,1.72647949789752,-0.393813523880584,-0.0260324772747472,0.0411718419597006
1e+06,"LASSO10",0.36,0.0466117870919696,2.16986869591397,0.0310019961314875,2.17989857837647,0.00277296254354342,0.00173469073912164,0.00413584258313743,0.801986214160372,0.48,13.278465562481,1.51509930515749,-0.404171974236116,-0.0363909276302798,0.045003122318969
1e+06,"LASSO20",0.36,-0.075660447933547,5.02237064400208,0.0487567885907294,5.00128531034651,0.00268528323611726,0.00130083172341492,0.00377668836530689,0.820471993514009,0.4,17.5435819764867,1.14867802388406,-0.415950639681222,-0.048169593075385,0.0445994676775989
